Name,Start,End
Finalise Project Proposal,2025-05-01,2025-05-11
Identify main areas for research and conduct said research,2025-05-01,2025-05-11
Conduct rapid idea prototyping to test viability,2025-05-01,2025-05-11
Confirm main ideas as a combination of rapid viability testing and idea generation,2025-05-01,2025-05-11
"Ideate on primary components of level design and adjoining music (e.g. number, length, sizing)",2025-05-01,2025-05-11
Consider designs for playercharacter and user interaction,2025-05-01,2025-05-11
Design primary movement system and player controls,2025-05-12,2025-05-25
Set up camera control system and auto-orient functionality,2025-05-12,2025-05-25
Create and apply main levels and music to existing gameplay (seperately),2025-05-19,2025-06-01
"Will occur throughout project but this is the primary one, as well as including user testing and feedback",2025-05-22,2025-06-01
"Implementation and testing of user suggestions, including analysis of reccommendations",2025-05-22,2025-06-01
"Implementation of main UI design, including menu systems and level loading components",2025-05-26,2025-06-08
"Creation of progress saving system (tracking furthest progress, no checkpoints will be available)",2025-05-26,2025-06-08
"Application of shader effects in level design, including systems such as light adjustments and sync to music",2025-05-26,2025-06-05
Implementation of OOP principles in refactoring code structure and ensuring efficient systems,2025-05-29,2025-06-05
"Final testing and debugging control, Q/A testing with helpful users and finalising all components",2025-06-02,2025-06-10
Evaluation of my own work and it's resultant effectiveness in deployment and user satisfaction,2025-06-05,2025-06-19
